year,nCandidates,nGenotypedCalves,nPaternities
1980,71,0,0
1981,78,3,2
1982,80,6,5
1983,87,3,2
1984,89,8,5
1985,92,2,2
1986,92,6,4
1987,98,7,5
1988,103,3,3
1989,105,12,9
1990,116,7,3
1991,118,6,4
1992,125,6,3
1993,131,2,1
1994,134,5,4
1995,142,3,3
1996,142,10,9
1997,149,9,8
1998,154,1,0
1999,149,2,2
2000,152,0,0
2001,153,18,13
2002,161,11,8
2003,163,15,10
2004,170,12,11
2005,164,19,16
2006,164,14,13
2007,171,17,15
2008,173,19,18
2009,183,28,20
2010,192,13,8
2011,191,8,7
2012,195,1,0
2013,199,9,7
2014,211,2,2
2015,220,11,9
2016,226,7,5
2017,222,1,0
2018,207,0,0
2019,206,1,1
2020,201,7,6
2021,199,1,0
2022,189,0,0
2023,177,0,0
